"","Var1","Freq"
"1","Birmingham",1
"2","BlackCountry",1
"3","Bristol",2
"4","Cornwall",1
"5","Coventry",1
"6","Essex",2
"7","Lancashire",2
"8","Northumbrian",1
"9","Suffolk",3
"10","Sunderland",1
"11","Tyneside",14
"12","Yorkshire",1
